Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 QC7 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC blank
357.18892/14.766 40965085.2743056 44572492.156392 40461227.475066 35996228.8937718 56750971.6870211 56195288.4133304 62864758.4302818 44105812.2810335 31875501.6021618 72503414.9538966 78482954.6501243 75874489.0603661 62159318.0236036 61819055.2316038 47990428.5554318 10097851.2642318 40766047.4772655 56569690.5758418 57587300.2499967 46576965.6115202 45400854.0266495 45422979.6469767 37958306.2097137 199571.584930386 38254504.290402 34770682.9166551 34953442.0161452 37573571.4528266 36655821.922587 38563242.8117595 38559067.4257545 37539147.4405423 37588146.4986291 37023362.5186233 8661619.33798082
181.07391/1.345 22021326.730209 45049159.6234345 72810123.2670708 31210475.2963403 36337576.7512635 31410731.6563216 23482338.7504589 62139795.87819 49745076.1542062 58916173.1353175 31037293.4339759 21026070.5315907 31486945.8052389 59358579.5764702 19266070.8364134 50280783.7735228 43011909.9112576 57600722.4639362 18518145.1460156 21987784.866628 19733306.9765747 18222456.0348447 18776361.1661549 31709188.4023944 14464124.7459208 20529656.836413 53511828.4154976 39600248.885142 35974727.0051177 37181263.7220507 40312313.1833292 36277078.4045958 38303419.4995536 37848470.3685742 40465.9753734325
358.03674/0.991 41054793.0856259 41092855.2069438 33212279.8581859 36354807.7500332 36918580.3756874 66105251.5577615 35418265.856968 66257639.5146645 19609587.3979492 37802919.036714 36618782.8825029 70382839.2606969 25013302.0601172 34991688.1896967 34755228.8866887 33751582.001472 33836996.5663039 62323794.3430199 53210663.1659331 6016088.27201344 61159839.0828118 31183480.9396941 33750464.2680596 5943820.47077244 29549493.6533887 28856674.8159794 27141363.773367 40204869.3989989 16288600.9120684 35110603.1975589 33152379.1434019 31631925.2303521 28925117.6853168 30620344.8331362 16408.4251431613
172.08475/1.362 19735112.3938545 15542108.2306637 22297268.6048564 23235968.6495067 24074550.0878042 23653197.7880177 20768541.5472392 23935977.3810699 39981469.8079849 22592981.9372201 29257444.2759855 18441621.724588 32153315.5672759 15526013.5430908 27343718.4447078 21774376.8124493 23347577.0019346 27146231.5403681 24519246.5966357 40953624.0743724 21506544.0631323 25152009.2128939 18576803.3346802 53858364.9304589 32003227.6700051 24261796.3446612 22960366.4842481 22470343.9364567 31398489.6437647 25269674.8160323 27831935.3504783 33606883.7147121 30724850.222001 20152152.2168873 271832.59831707
174.11174/0.924 38795296.5240878 43206154.2534101 36863705.0588892 27075827.5859721 32104334.6970926 26181535.0791124 34984791.4473284 41666610.2454382 33996971.3044031 34269364.4783447 32975735.960198 55985453.906404 37162659.8860375 33477692.7447844 37485660.8010758 44232415.9139564 38270969.4897204 41028036.236955 29279246.7346129 35036037.1999721 33218600.5671402 44496801.8794121 45979043.497764 41385112.6373394 27743939.451757 25888506.6884829 37580497.9606093 34660125.661178 34210435.6837936 33459569.0524063 31417580.6504364 30058654.3567568 42610170.4894389 28115095.1329429 34431.632491366
138.04293/1.086 8681414.72869905 2742652.10804319 4849809.75056015 3767714.4560571 8254399.67671678 3702141.59534984 8892352.46476731 5386961.06328377 13641901.9849157 2929865.35289466 4562323.04217419 13038238.8816363 8223105.68953269 4600057.22855862 55152989.429866 6189230.5840287 3878372.65321452 6202528.47835831 7746584.97287314 4145483.31238667 14293051.5083445 7196615.10702087 10002068.464533 4451524.76328639 8369739.2514102 10047413.349842 4451241.22861429 8300132.9342295 8148899.51275889 8820627.54303823 7875457.59596856 7626473.76472996 8695520.93702141 8332948.22301766 1099302.63270505
352.0288/0.938 21026022.8454737 21147435.7423838 34508232.5170671 31668669.8256383 32252497.2658143 32061671.7463816 29310168.5387002 27355589.6728849 46729940.9955153 17506200.0153548 26559943.2007551 19900268.2891888 37406758.6975015 26559759.7082247 27123333.732239 28252956.6492986 28039968.4953564 23913972.8158672 34917845.7794336 49555613.6922251 24330137.636861 28921327.2796589 16703671.930698 51171388.5562729 30193267.1799129 30414470.7585509 27182149.8515004 31453686.9997504 30523578.8853477 30342943.7178139 31379024.9113733 31172325.3156836 30185929.8662133 31380849.2743736 3836.92012118428
425.35074/14.155 34605857.2733669 26394536.0869804 16224598.6722209 15522541.7714977 43626061.7779666 15337155.6645343 22633975.7991334 24219636.9002853 5219855.51854932 37216691.8313561 12488548.0253579 21954675.8148616 25352088.0804767 8783566.3486254 24188258.3325398 8088303.17306385 7242760.49965289 25128728.7338877 15701601.7600715 47337817.5342152 17967203.015999 19553989.1524115 17467629.6660793 22733062.3266632 15098917.2721265 33147718.0665004 34344978.3973705 24187190.9378954 24015518.4729891 24596271.331767 23354078.0435241 24231987.1993255 24863171.4120287 23552215.0406234 15135.9532749907
150.08924/1.485 24192731.4651819 15828800.3383088 24448538.6612654 25777709.206461 29476678.7399866 25069646.6547077 18863335.6346459 25806395.6440366 47120422.340254 15971455.4796396 18003155.5460992 13068127.326206 32549947.3873225 23275978.6240308 18063669.6404425 21379007.1538787 20566734.4189016 14106574.5795889 22430397.8602594 38107566.1997457 17614463.8749157 21929374.8440962 12194043.6799016 41912377.8156705 17597029.1095492 19219158.4178714 22525310.4516674 21036617.9307531 21920610.0345343 21604480.8079868 21990265.1509182 21462191.124767 21599426.9733782 21419601.6199767 2052288.71665008
545.34855/12.911 17741923.3123747 23807469.8994401 15609011.2933354 28300747.6375769 28898495.6236346 26938881.0587658 11988667.5321929 20040474.6692317 11300038.8441357 11090027.7278958 17577175.0250962 17914043.244255 32338794.5880274 21168471.4345065 17211529.1954544 11713767.7600929 10293802.7517895 14388644.517249 12662784.4035912 35862672.5172791 20016292.0043323 20088034.797022 18594088.6528954 44128967.1711233 13904329.8405893 30155659.1315198 13508865.8125319 20344086.9034692 19904026.7574216 20313418.1730402 20025200.225057 20358618.9471836 20298286.895419 19950081.5892736 10635.6876774202
403.1997/10.202 6020019.61524134 12914876.2427569 6087335.59619111 41879358.5963201 5259750.56023782 14198992.2927131 11976838.7437596 10969643.7494233 12853975.656721 10822562.0793358 6581126.86226408 9035872.81323851 10443927.6896312 14327270.7661476 12486294.2232872 6309206.97509934 12254419.2923363 16887109.6900652 5884982.44045213 43354648.2572807 6664127.51926654 13282269.2727194 8072961.56803673 10980910.4221298 8849057.7578252 10040967.5834821 5675734.85665803 16111553.8755183 16381187.7917135 15930962.1306448 15846761.5686673 15990653.4540089 16130204.091068 16308418.7058636 210374.348184025
507.36913/14.012 41058074.5756479 30365411.0260783 35018498.9502255 26179820.5666045 24497020.0626447 25791588.3883222 34959275.9132231 36312985.824015 16493402.0210312 30947322.0812367 26894338.3140689 34376881.6626041 34454544.9478178 25959501.1811029 36924328.0808265 28944622.0793085 22826509.5350017 34791066.6138267 29429686.1169545 18434904.455302 34806258.5637912 30779932.5602928 42983095.0857177 25504513.4285307 27123249.5021164 37087387.2464636 26431732.9798574 32478640.1998402 32722739.2259303 32966369.5908915 31856223.9611085 32452971.6593958 32995191.9899788 32453995.2877549 17444.557971652
386.17317/10.202 6413419.43742286 14632719.2377461 7062081.9560601 41189846.6551861 6087495.65527212 15700580.8162834 13407675.3728698 12149142.3628856 14447748.4520041 9844790.41312357 7515765.62572424 10104244.7516054 11825326.3654631 16038548.7403461 13390046.1812775 7211945.72797805 12717758.9528821 18345503.8740833 6567227.77680568 42684559.2494325 7550673.64709952 14807641.0615407 9226758.08347052 12539445.9808769 9771134.02576891 10279428.9248973 6634358.69848434 17357777.1147317 17371588.9626601 17409937.1035494 17390884.5587774 17302755.6146226 17500529.9509326 17286945.7406716 283438.017366015
535.36417/14.342 36068262.5171226 40742154.1355147 33612594.8872721 31113694.1955435 31555766.4877778 30356387.901043 25488690.7370586 41643692.5238042 15198396.9227962 27714553.8996271 28459043.8312788 30200751.1367742 41651004.8141609 32252955.261122 31529241.7605672 31702123.5067254 32188900.5380708 29365322.0466879 25348625.9610773 22918203.5410021 28846704.8210091 33289939.8130416 40060704.0100601 30933187.1819921 25828166.7367389 41885888.8736255 21964850.4813242 32808019.4533451 32762298.9865004 33447258.8740112 31879783.9020895 32789891.2803102 33029820.5811961 32856691.3612782 15628.7668945191
194.11547/1.773 10232904.0984166 8666109.76713453 12080684.2610822 10016192.0569572 10585377.4655825 9560318.86510994 9979945.7010852 11089867.8864217 13212602.1153051 8449842.94198764 11847388.1000571 8917532.40319831 41474165.1449234 9350763.95171076 9710271.76000736 9999069.55929215 9212518.61543306 8524877.11900813 11297163.2074095 12534999.0802534 11199093.8200543 10833767.2774598 9176344.25697893 15509615.2936189 9892885.51972257 10133290.8554873 15033479.7270007 11247013.6360951 11516466.6764412 11440909.3071547 11696373.3455645 11652765.2080283 11385899.9957349 11278043.7306577 3812789.44013269
293.07231/9.944 15521588.3353122 15703320.3276774 8229999.9144518 8697582.99260525 12651144.2116483 22962032.9828424 32831170.3948393 12498610.8791546 4870051.05117953 36156432.9591152 30425519.0360644 38005949.1014233 9395154.60549739 23301561.7098732 30268427.71188 3378858.27128669 21031646.3106284 24076922.4234332 28526071.6739915 4240999.6764706 24719913.0186186 23702332.5047147 26808808.4180139 50796.193735059 17997059.8992945 16341800.0179368 14445520.7335744 10025461.2013391 10056559.8279554 9954696.85330876 10393785.1459686 9895542.96618018 10149492.7913615 9932215.39603231 8616.73709845625
477.28589/12.217 4831236.40276366 13100260.0786725 13463947.7249186 14441735.7698132 10931439.8149334 14006202.1045724 3520923.7442257 15405278.2104175 7452865.76996319 9115941.19340452 14390784.5929312 4615608.69927971 18204619.3216462 10332848.2904776 5576437.8405016 8244176.21871647 7434747.26295715 11154528.119975 2965001.16206776 19385068.6155605 5338220.71464099 4577777.11853339 5081079.72895995 20651658.8392265 3763773.65793657 6060518.93818746 11156821.8007777 11342222.4882849 10528837.6672204 10454590.9873517 10462201.878396 10535028.5660271 10781812.5728872 11100545.8105155 8716.17217332302
267.09302/7.374 15965857.7599335 24361741.78822 18376705.3165949 18199984.8622401 18306178.4858975 22716514.3923335 24437728.2215562 18254807.6123398 26863537.0280204 34465580.5726697 14944087.9726233 31900990.7833638 29348052.743962 26882759.7290752 21288835.7834211 9490523.36150036 14147945.1773463 31334117.602671 20530013.9590986 27126160.1392193 31764014.027853 25989833.0710532 19762358.9251209 537640.564201069 17053891.0444682 24498932.7761759 16647319.809727 24754360.1339064 23257154.412182 23515222.2502614 23878721.343711 26178281.7863926 23400879.0645328 23356460.5949564 8795.07229574131
212.11603/1.36 2226776.62147053 3156949.41921215 9550408.16168967 6220753.94415558 4121873.6830312 6516075.62037368 9522401.27477996 12888094.2676696 28466696.2691371 7255437.56733885 9658567.56333942 4220863.03870633 11430097.7415041 13074623.6944586 4904452.32594563 30842066.7556301 31960161.1276124 13078331.7148896 2244270.57231454 5419046.43803428 4816899.08827475 2209047.01746198 2134482.60317207 11068204.2371895 3766117.71566321 4167157.88866445 5286043.8502416 10305079.0607843 9197301.0967343 9734293.26414366 10365612.8147638 9638568.92521953 9727831.01816109 9861150.44189872 7273.63845190315
99.06837/1.921 8779624.87428443 7827483.71242826 7285090.22615581 6953861.71571769 6061576.53606273 6333008.07621218 10581914.289756 6871940.52206832 30798178.894231 9032809.85887854 5708122.38001059 11577080.05454 9361925.36585196 7241970.81831229 9430027.38926867 9537603.08525501 10293836.6855422 8288522.72110588 7452767.25732492 10757090.4302342 8214769.61308462 10088759.0027006 5907760.68057494 8117658.41061962 24116499.1860453 8885942.37961412 11488355.4779141 9467909.56446972 9786562.43874128 9654018.14416533 9691012.79979034 9604808.68916365 9578321.34031074 9687899.64130675 2951330.61775194
481.3534/13.582 20601519.9348024 24269860.8730824 27414896.5527509 21886818.1316165 19385857.0076738 19862470.6051804 20849744.9597086 26386124.4094446 17297363.0731614 23284974.8790876 19132934.6758106 20937299.7800278 25429780.4462687 24393888.6801357 21467117.864895 24223253.79835 24575073.0293816 26573885.8305144 17062510.6107307 13917381.7130557 20467376.5593907 17321818.668089 25226771.2650415 19248505.0879681 16808121.0423068 21055001.4317843 22787052.2473383 22672382.9922727 23785397.5739921 22257635.748788 21550368.7316085 23008976.0315318 23655455.4972501 22430153.3279359 16836.160422505
280.18869/4.877 6032764.43896888 7291644.31369118 11658050.8044393 10386324.7353565 12803646.251265 4037681.16526543 9342877.59962642 11344507.8476207 18719405.2611225 3493117.98808303 8171229.92962041 5634699.45202898 7929604.97985073 7618808.77516151 8656934.66080404 12677122.5722393 3173270.99840387 3226268.93172176 13325420.1485621 8888276.22910247 4306474.19015044 12151595.9109639 4711714.15242763 27630638.6297109 8051275.59429137 17262954.984893 6923302.64580519 7861633.58941661 8058715.75680434 8887877.73920558 9856802.38841878 10694996.7483253 7232525.71042614 7191145.00300464 91025.4187614156
501.28584/12.295 6496976.6508622 8261576.34809498 6276892.55707442 8743525.05313108 8137805.25376419 8417855.714794 4426363.76248246 7660828.61306927 4407021.37628767 5344167.67716474 7566217.27417966 5477558.56214207 11733825.8823574 6860506.28053685 6469861.55159147 5666651.96815319 10086579.6670997 5864263.28701791 4065172.4102695 11286864.6118797 5342950.83585515 6485156.39741794 6005076.16537354 11173438.2712661 4804291.8303364 5810473.04298607 5176104.47532844 7129485.98153503 7152917.37289642 7288127.39311016 6926484.01490591 6920845.29321518 7094707.26006541 7359019.71201448 9511.22149142947
380.01868/0.939 14913263.2110967 20189928.3345497 10243859.6515086 11853771.0318468 15576791.9724031 15569384.8063493 12887355.1976226 13467893.5270554 8786698.37547608 16784944.6677649 18363436.6210426 20098031.9303399 11918610.16096 19338311.1414876 18481019.2177517 14149410.1758722 19181360.5082065 19219975.6891568 14741413.0504057 7556594.17371375 14834800.2627883 17036697.2725067 17603667.1259656 5632444.36661442 12852224.2755004 16270056.6195642 13671949.5830051 16716796.2144492 12641448.7153295 16615163.4547789 12517349.8232616 16472387.1068813 16834406.9867733 12838361.6403752 4440.83099536527
128.13132/0.864 6615032.34641857 8752949.63119248 16082525.6306402 9736750.02018188 6651267.08165505 9396865.74882329 11298355.5677664 19033947.6993581 15725734.7119422 11483473.0970732 8152041.58605626 4175529.48293026 15264474.9437909 8011818.12869491 6206971.63746008 11986511.5968418 10499929.5127574 10543728.4434331 7724626.67315455 13432534.9973114 6739117.48723703 12354146.2409648 5644801.41982407 14463374.2502199 7282999.22228303 11372929.7204895 15356316.3040877 11098863.3500963 10400362.4956221 10714773.2955713 10882870.0279714 10810968.5359959 10913380.0185323 10572118.8671459 8907.49924678431
795.51844/16.47 18342031.5690736 14713733.4304989 13226922.2348545 14490643.127558 10593223.0904303 10483083.1686978 9076661.14410208 9363593.00183737 9494375.6204103 15265831.9705523 12555670.6015839 10855038.9333848 16024259.7439349 14812374.1366095 11977255.9925752 9097764.24800183 10082787.5193432 11219617.682253 12749390.1866165 9478962.76541939 12278974.9973295 14019545.3593342 15511488.3182852 14136657.7482876 14262183.2713526 13709498.400629 11473943.2410033 16430674.5632005 16534602.7072452 11349858.6688927 13890600.9954115 14843364.1932519 15150886.5844721 15615793.9672466 30034.7015233144
208.13108/2.704 6178820.7831649 4763748.45988098 10572794.9142972 7513910.12866941 9197389.60815394 7181803.54861408 6684013.53084483 9291967.78168412 14107116.3672954 4610493.45886877 6333710.47438533 4111503.80878483 6898336.07662543 5844848.23438701 6518182.84940116 7418839.05370617 3440006.30974918 3861416.13157901 9580606.93840401 9548131.46377316 4535139.64681551 8353873.13227533 3981437.89641317 17319674.2218034 6280760.58835391 8537953.77039968 4182609.57477112 6949735.84714049 7140217.58638595 6097659.37142078 7033627.69436753 6901535.10920612 6799013.42842967 6884595.86574336 226109.057738616
481.31717/12.061 2078790.603697 3489367.79357586 2787271.17887778 3019047.06883459 3944159.76173978 2942233.97791488 1738476.21377909 2730781.1180161 1698435.70948197 2281752.43163038 2628097.75182188 2599918.14288088 3443299.64685306 3272895.42939713 2158756.84294522 2410308.31421352 17255449.5391789 2184244.27208776 1523711.38442003 2513808.30083705 2675899.82616313 2945336.72630965 2597919.8976238 3054473.42666048 1926748.37763856 2926221.40699367 1858815.16157788 3253087.34405572 3311438.56455719 3325965.11901819 3333001.72650699 2981399.18521959 3274878.64987929 3453198.96930992 11069.0008547499
