Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC
189.01/0.6 8500431.73322336 11088704.5824347 6313109.52336619 9805548.8017675 11325653.9356863 10654637.4543543 14312680.1791295 6388093.06365525 1874297.36140297 4793543.73508737 11185663.4960987 9731675.25860539 7003574.22787265 4452147.7219927 9215967.00305832 5920121.9953594 5115844.53054446 4444850.88646821 6758663.25214494 4233051.92325042 8863739.61940666 10607608.9826574 11360897.9296448 6475147.12585127 13582876.3075758 18595642.4448476 2959351.7113607 11542253.7543006 13899732.6175711 14388924.289889 11099454.4061991 11694795.006907 13783656.3680476 3643.41210412262
340.20768/0.542 1588624.29431957 1375359.6666443 24760810.0160176 1397421.92195621 5902103.49096569 1768195.39051868 7376155.48365516 993527.807785979 1865504.63574387 1660765.10297925 929159.105009169 704398.004216489 2227554.26740489 2123372.49153705 1803918.17587863 8587235.0586563 1772314.97133385 680436.493512905 971356.886028993 2307429.23580974 1745172.32548996 1782610.46876323 541355.619749869 1244254.53706619 1210757.32107537 780091.047941884 2806523.23382325 2645585.6707297 2527821.39841423 2379499.24898607 2487947.15061845 2320225.71395224 2664468.18652841 102948.392493734
181.0744/5.401 6932456.97960464 11991344.4860645 23789964.2196526 9443550.07937067 10112712.3355149 8413043.98241713 6794287.71976993 16522968.371874 15121829.969465 15702972.974803 8619884.26454292 5151017.78421858 8520148.55788121 16307318.9043835 5958662.08027852 12547521.4872556 12564245.5307415 15392509.0661798 5456904.91353258 6444330.67835698 4886551.46168185 5466757.46417387 4430789.53660748 9342266.73398012 4554369.43386676 5485298.88673512 12568181.8572794 11338458.2583395 11254244.8035112 10775260.9111586 10270835.4278834 10427057.7003996 11653131.7454795 81198.7535096232
122.03714/1.302 18654242.6022261 16465624.8725196 16835611.3059384 13725609.1395583 19312180.6574956 13819964.908388 19936231.7239073 15255084.0431984 18519967.8439584 15819724.1268882 19218553.2895919 17871657.668308 17554205.298076 17569798.8024496 13666396.6808799 3914845.67058478 11167900.5554663 12034876.2555636 13203530.9938954 14564197.2155038 18210698.6912889 17262571.2271394 12295563.5421976 2181048.20181419 13730106.900844 13852264.6168489 10262120.8811912 14261301.7071126 14136310.1284391 13598109.7916517 12631909.8723459 12710180.3110907 14814056.332845 1450346.22582323
460.10892/7.178 10428147.8699074 7641295.55412754 13685405.2928026 11859907.5174674 14011879.1154567 9663918.6451549 12620256.179899 9589824.33909999 18758901.6959031 6219033.41394496 10203728.0055037 9347278.47050471 12238553.2665309 8895694.67983623 12302006.8123528 7287049.26145553 11076928.2924965 8969266.27979541 14313617.2992181 20180935.8205431 9530203.60355024 13660031.5451412 5047388.38073482 20254242.1588875 14521867.9227086 12266290.4893615 8394293.03855146 12767331.3497743 11460217.0438174 11083839.1276308 11532079.0760844 11118624.9444021 12580590.1807286 3108.2734860097
390.16925/0.526 8025845.19091218 8851763.12040448 8890225.6898283 5559824.64298232 8518932.66936658 8373366.38764273 13569211.8473789 4991736.58902316 709609.443691211 19364522.3981859 17999937.799765 15153062.4452984 7314026.13576464 13244733.9760363 7476097.7973764 706094.655974421 11373446.6580979 13560481.8094108 9968906.36487301 6209078.81923002 7223789.87209204 8708349.35259599 6354402.66517039 25393.6911082443 6875463.71554934 3380769.92145711 6019257.48097438 5949035.29571214 5682259.43764108 5722436.00646217 5807098.74543705 5654704.78454919 5881056.04057375 309345.692151278
204.13648/1.778 9316573.27567883 5576663.00936886 13332661.2578875 8494249.15743406 10976252.2026102 7431119.73827973 7017893.11818836 8227760.94674109 11805198.972047 5959001.95193577 6140527.26208604 5004730.48145347 9116326.23561269 5871131.2611077 6728851.40061549 4991151.76475526 7544881.61904764 6032988.51472678 9602949.03473907 15964782.2417348 6947390.62046374 9598216.45595182 2889158.03772001 15109577.3675399 9007390.6043399 8176392.70162687 6367864.33524644 8929259.19371631 8697659.5356735 8165422.40108356 7784506.68227034 7725415.58326093 9202880.01879334 12795.786021191
188.10539/5.856 10596034.7925132 4329009.67910359 5222334.73770047 3822751.81713611 4197169.91820439 3513479.539531 13563422.7838629 4614450.77352715 6680758.39677772 3352811.95449781 3203546.55818738 17503761.5473594 5124895.26834026 5934422.31958179 11429684.7306513 2255764.68646754 4701745.36471129 3615241.46904842 9681244.51303005 4365372.23649122 9568753.80856573 13127314.1744361 5644814.18941884 5047240.17177307 10291579.9649139 6478419.53401619 3219952.75429978 6688836.0604605 6475069.39380879 6155724.86010386 6102566.18102542 5779637.6280252 6925371.18049829 905897.010454144
308.27188/0.589 16497171.3715398 7959511.08009689 5540227.44121973 7200330.03977489 10898466.6193415 6752288.22404057 10605957.4717439 4147516.47907726 2651121.679033 5674863.6370547 7070576.61599665 13263016.2954968 5118755.92041684 3043641.01537444 13934569.2289764 3681648.18416126 5033361.1770758 5943609.53275282 9211122.6781691 9008757.36467429 7562976.93141525 8018948.35249351 7403379.30643813 5246283.01785968 14233370.0599745 10608891.3750727 4048633.47130515 8163123.34675975 8413082.80207964 6312430.71683941 7540980.07896167 7546946.77758883 8112362.78117858 6227.94409713886
226.19382/0.702 17750538.1511193 4136426.82604219 1493890.88717028 3040531.58621081 12231836.380772 2748793.64828587 4752093.69918532 1382427.71105852 935727.560508266 2385784.83156057 2214923.27778746 10300804.7326611 3036098.77156499 602078.427578358 9505315.19108799 788027.436786322 1364694.8655577 2723935.91066822 4729321.49016023 14372595.3385694 3722332.14264538 6049221.2075842 2643549.15608654 1967442.13620945 7400721.329311 8267958.5330358 1611951.7104317 4715005.6913322 4646323.17496915 4258213.28780276 4081127.7776324 4271773.46578355 4818926.02056478 5743.21965080603
244.07005/3.224 16948325.6704438 8750680.49913031 16081564.5096842 6563755.00533215 7001910.66456868 5867391.39419854 14076452.7386718 14583737.6201146 7171167.52955613 15318999.8463615 5691809.31607051 10996573.5901742 7755839.66221928 7848526.48331654 13756039.8500901 8316820.06919649 10313213.9628724 14789482.0848539 14395242.8093967 7182839.22969683 11002269.1811948 13920393.4814889 10699349.3738072 7659820.95495929 12513207.4321922 11805199.6255989 13558403.9236619 12372613.3787319 12302045.6028551 11535829.8259807 11142442.5414859 11430732.168152 12637906.5815473 18039.5072098321
240.08504/6.479 14125608.2870616 5543484.79583895 8017689.98752261 7963625.72912712 6080857.97369802 8494488.61374436 12982064.9534356 9335337.52688865 7433153.4061799 6109295.85411839 6314640.16322843 10612523.2760423 9531032.25852178 6620000.17232512 11807213.0133352 5383052.89336104 4956453.16708219 6505529.61604825 12671206.7519117 7570022.04621179 9737288.09065853 11859420.316737 8693090.68741466 7793709.18931029 11592497.7670988 13860728.1169786 9303624.82400524 10113464.2256049 9972833.52423707 9525684.81252087 9471901.68768955 9134629.66714306 10429539.5877518 5695.0861670066
414.29901/0.544 529613.985280511 6406518.62029709 5144612.89621702 5708456.59646602 2584788.82762154 3872535.05248377 1099914.78090396 15523446.7934055 6291149.12352672 9782410.91717465 2358989.39917801 775008.015993933 3688232.93126517 6431457.9248936 835267.84266792 4703211.11959587 8370482.8493402 9521072.61487964 868288.009575816 3201518.04109884 876711.063898003 774371.661776272 624630.661519401 5039497.49895118 948566.183423745 1135370.74336122 3961771.92588567 4710033.99933319 4715865.42971557 4714560.17835795 4758784.19883517 4569804.50263145 4785207.45164469 45502.9768817922
298.25108/0.618 9675788.31548772 4546343.67866689 4242368.49278766 6622291.23213386 8898327.78482786 5880502.99698214 6571486.38842137 2841976.31914486 4694288.50420981 2228696.46601126 4138023.22371073 10780881.4852823 5553019.08689825 2378532.87615065 11641970.4753401 2692002.50916041 3076031.68995863 2228524.72168756 7498536.07120944 8479563.2681139 7199740.97211582 6683407.19344964 4145305.10677838 4460662.72047017 13383327.3919004 9500162.90863335 2565001.90764207 5827958.41234273 5714205.14824408 5457348.48288424 5333296.83606341 5388964.10967935 5922260.35619325 347486.552474124
177.10057/4.239 7461219.43898944 10598465.7747551 14184779.4279035 12081755.9517245 6612191.98717214 10697714.4452608 7901227.31928569 9559404.20114446 12351662.1252454 7695729.20598215 12581353.7693198 8385072.20401005 13534269.8202396 9395703.73009639 7202251.19745975 11106753.4124797 5794994.72006264 8148910.65682733 4884262.57544637 7768036.22036469 7501284.09715703 8374240.72351126 5961082.89777595 6736362.86306814 5204245.80798739 6629038.98140719 8135612.96190877 10091374.2280689 9961394.40949125 9323927.82186044 9047186.87282151 9042812.35973599 10318902.9083731 12403.4910413977
287.06805/6.475 7444419.03841864 3988330.29080024 10069979.5018399 4639608.77905864 2819958.90429808 4235852.08394833 10748030.9094007 5577965.32031602 6925974.37065973 2282146.5983483 2484744.23756037 3135421.51518436 5754886.00648554 3195892.93239316 5029100.00031408 2760848.70999562 2699086.11795125 2661381.91620467 7221864.91504057 7316929.56618498 7302529.56017206 6351177.70359034 2230129.41938604 5848747.42972766 5995562.68245446 6869894.14752154 5080882.45867901 7266379.98548977 7142247.52195179 6448238.69588404 6371393.29058824 6295818.18078429 7616228.01746081 18207.0213121325
150.06853/1.062 327287.747316131 4860490.15463057 4517279.08633742 4717547.74361216 3327369.61580841 4043779.94789155 378462.062481184 2858226.30069527 5513109.99518807 2179475.75411452 5011172.71627886 317052.57387424 2254515.34326703 3667890.36490623 311367.268406946 3184779.14670314 3293956.03005355 2217441.77865406 178122.851119251 2045916.30045967 367397.21579489 364179.955499286 511261.587272055 2093926.62597131 327641.822588616 236028.782931865 1904526.7350786 3052393.20357445 2912893.0973196 2716172.18861141 2558809.29870429 2690424.39422791 3046555.50277896 50714.3385376076
553.33971/1.917 8228004.08927783 11851033.612847 8783974.89371905 11585639.1102051 7789257.21277036 10686507.844165 6666715.38328 9875053.74331856 6246044.82933078 6305061.84901496 10331232.767411 7323045.80074916 13290239.5292704 9290862.78663411 7736173.12641145 6484107.3771845 8865777.81157062 7617128.8473592 6969131.10444408 10354715.7186318 8702188.65379484 7877146.38608535 7097609.57462564 10811457.9028676 7443258.63050789 9132924.7993737 5522122.89648362 9267176.31602184 9139663.05625738 8866843.19733384 8684119.595641 8416877.49209266 9514773.33544441 9734.45334819425
370.06841/7.978 10527863.1666004 9111696.76569415 12152047.6017967 11865331.0511715 11587646.1640323 11349516.6012168 11200933.6834254 10418495.9809269 13041083.5511741 8392153.50646823 10621838.5348853 7840495.03276193 11733480.3819885 9793128.17251912 11385242.6514744 9152871.06940469 11184889.8009916 10204446.0189164 11606444.0920478 13514840.5003236 10217355.7451266 12011252.3671264 8343701.90083059 13435621.5282532 12077679.8759258 11258994.9733376 10164208.4384912 11864674.964468 11812118.5204738 11575615.5003629 11300475.4217433 11081977.2231376 12374478.6636217 12926.3719262792
202.03043/0.598 4211282.81369132 4116715.87361805 632628.823627921 3044635.88920816 82942.5394264868 2793964.82251006 9268520.99706928 834154.380590856 445875.592973624 939695.549108319 1991937.77299579 3625647.30704255 1532566.87767792 27241.5763235334 4805228.79215165 1167782.04997555 360488.706918039 986193.779360167 2532035.84703302 1907569.20667778 7587329.22943815 8590971.96020169 10434886.3670629 77553.0124280431 8547496.16461372 8038370.88374618 640360.003169355 3526816.105536 4264163.56754699 3480490.88094408 3117307.58783169 3119393.6102346 4133545.92200647 15078.8604340586
198.03929/1.82 943090.070271685 1251557.33411966 2881785.65045695 1456383.41112251 1239285.51761777 1127847.86656802 740748.178576068 747314.130425747 100081.98055236 1754629.35687548 864310.014652439 1331299.65242693 2981376.70559429 1232771.85318083 1203433.2616016 539288.066765305 1209370.53377705 3288096.16590006 1601002.00293623 1738820.9420052 1866027.81062176 722832.024093658 563365.609049956 1505308.56606137 1121753.51970415 2040761.77561086 2441771.81918621 3040654.01054657 3015956.12414717 2986576.01187438 2718660.03760283 2862347.84352866 3134213.8327448 7376.08972247157
569.37093/1.806 5567390.27336236 8461333.24839988 8403573.17962902 6846586.48387971 7058847.70422773 6098167.29366805 5246877.07393265 8339306.77308372 7922268.40374407 5776178.77700065 5605885.08243751 5717254.28419636 5990189.87838111 7630016.99623573 5624625.71915897 5835730.61090355 11552520.1258992 6920878.40555674 5427090.81920604 6081842.95312866 5874049.80541483 5662857.70148686 5748322.45605461 6396567.9917783 4827678.41796831 7000267.21716442 5535592.28651144 6668030.26445128 6751291.41532482 6593525.66914911 6446437.55648331 6485934.23426259 6820803.5706522 7450.60474956706
