"Compounds ID"	"Tags"	"Checked"	"Name"	"Formula"	"Annot. Source: Predicted Compositions"	"Annot. Source: mzCloud Search"	"Annot. Source: mzVault Search"	"Annot. Source: ChemSpider Search"	"Annot. DeltaMass [ppm]"	"Calc. MW"	"m/z"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# mzVault Results"	"mzCloud Best Match"	"mzCloud Best Match Confidence"	"mzCloud Best Sim. Match"	"mzVault Best Match"	"# Usable QC"	"RSD QC Areas [%]"	"RSD Corr. QC Areas [%]"	"MS2"	"Reference Ion"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 1.raw (F49)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 2.raw (F50)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 3.raw (F51)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 4.raw (F52)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 5.raw (F53)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 6.raw (F54)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 7.raw (F55)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 8.raw (F56)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 9.raw (F57)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 10.raw (F58)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 11.raw (F59)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 12.raw (F60)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 13.raw (F61)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 14.raw (F62)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 15.raw (F63)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 16.raw (F64)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 17.raw (F65)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 18.raw (F66)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 19.raw (F67)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 20.raw (F68)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 21.raw (F69)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 22.raw (F70)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 23.raw (F71)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 24.raw (F72)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 25.raw (F73)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 26.raw (F74)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 27.raw (F75)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 28.raw (F76)"	"Norm. Area: 230201_SG_Fredrik_HILIC_extractionblank_2.raw (F77)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_1.raw (F81)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_2.raw (F82)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_3.raw (F83)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_4.raw (F84)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_5.raw (F85)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_6.raw (F86)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 1.raw (F49)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 2.raw (F50)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 3.raw (F51)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 4.raw (F52)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 5.raw (F53)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 6.raw (F54)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 7.raw (F55)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 8.raw (F56)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 9.raw (F57)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 10.raw (F58)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 11.raw (F59)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 12.raw (F60)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 13.raw (F61)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 14.raw (F62)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 15.raw (F63)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 16.raw (F64)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 17.raw (F65)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 18.raw (F66)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 19.raw (F67)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 20.raw (F68)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 21.raw (F69)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 22.raw (F70)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 23.raw (F71)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 24.raw (F72)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 25.raw (F73)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 26.raw (F74)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 27.raw (F75)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 28.raw (F76)"	"Peak Rating: 230201_SG_Fredrik_HILIC_extractionblank_2.raw (F77)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_1.raw (F81)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_2.raw (F82)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_3.raw (F83)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_4.raw (F84)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_5.raw (F85)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_6.raw (F86)"
"775"	"D"	"False"	"1-Stearoyl-2-hydroxy-sn-glycero-3-PE"	"C23 H48 N O7 P"	"Not the top hit"	"Invalid mass"	"No results"	"Full match"	"2.59"	"481.31808"	"480.31081"	"2.107"	"8871570.94730126"	"6"	"7"	"0"	""	""	"21.1"	""	"6"	"12"	"5"	"PreferredDDA"	"[M-H]-1"	"3483100.84502213"	"6860004.2113215"	"5858421.22665949"	"5925527.05163951"	"5662821.40355245"	"5751675.20833181"	"2796579.01230661"	"3949698.54452064"	"2989350.62912504"	"4526826.32538715"	"7217928.65936914"	"3182693.61647642"	"6984222.18376644"	"6395030.42329469"	"3639352.31237096"	"3705996.50089644"	"7876021.89256056"	"4246253.86911022"	"3868735.11088838"	"6041495.38120356"	"3661039.8395326"	"3428209.59878471"	"2877356.42349703"	"7905588.02525777"	"5315388.9831365"	"3953488.98823575"	"3966442.97116364"	"3526437.22987493"	"9809.69737327199"	"4858163.07620442"	"4776364.13075637"	"4640408.63459705"	"4447021.38745307"	"4420569.61188261"	"5001333.44350302"	"8.9"	"8.9"	"9.5"	"9.5"	""	"9.5"	"8.4"	"10.0"	"8.9"	"8.9"	"8.4"	""	"8.4"	""	"8.4"	""	""	"9.5"	"8.4"	"9.5"	""	"8.9"	"9.5"	"8.4"	""	""	""	"8.4"	""	""	"9.5"	""	"8.4"	"8.4"	"8.9"
"2382"	"C"	"False"	"Gluconic acid"	"C6 H12 O7"	"Full match"	"Full match"	"No results"	"Full match"	"2.60"	"196.05881"	"195.05154"	"6.486"	"8841823.4282331"	"11"	"5"	"0"	"46.1"	"24.8"	""	""	"6"	"18"	"17"	"PreferredDDA"	"[M-H]-1"	"3105909.63357534"	"2208638.41064176"	"3523088.26781757"	"1770170.60852549"	"1024421.23598823"	"1804341.76376898"	"2925720.74633511"	"2358833.83019244"	"2310795.02933998"	"2848789.6775717"	"1810202.53515849"	"2085096.50346839"	"2897715.21173635"	"1795129.32166435"	"3391786.59240098"	"1591060.68370108"	"2556546.47533883"	"2618215.78761775"	"1899964.60112873"	"1120434.7754492"	"2343915.63469959"	"2530005.75153042"	"1158451.04444969"	"1313531.85637702"	"8749653.47617696"	"3031123.19418892"	"2836468.49021205"	"1843409.48146742"	"16020.6403983555"	"3469992.93348631"	"3278038.0806868"	"3142568.04831899"	"2938039.70462689"	"2316479.37998011"	"3980937.22880826"	"6.2"	"7.3"	""	""	"5.3"	"6.2"	"5.7"	"5.1"	"6.2"	""	"6.7"	""	"7.8"	"6.2"	"4.0"	"5.3"	"5.7"	"6.2"	"5.7"	""	"4.0"	"6.2"	"7.0"	"4.8"	""	"3.5"	"3.5"	"8.4"	""	""	"5.7"	""	"5.7"	"7.3"	"5.7"
"409"	"D"	"False"	"2-(5-Ethyl-[1,3,4]thiadiazol-2-yl)-6-nitro-benzo[de]isoquinoline-1,3-dione"	"C16 H10 N4 O4 S"	"Not the top hit"	"No results"	"No results"	"Full match"	"-2.24"	"354.04148"	"353.03420"	"0.554"	"8808903.67708277"	"12"	"0"	"0"	""	""	""	""	"6"	"30"	"12"	"NoMSn"	"[M-H]-1"	"1370918.41171271"	"993522.171168049"	"2344416.34646884"	"2284034.22256329"	"896519.343882898"	"1816982.76460364"	"5049186.85163478"	"1103690.20129951"	"1305577.6179417"	"2054124.3122617"	"660878.726714567"	"2792604.66278329"	"1700323.93447283"	"2734732.58830439"	"1221564.88581547"	"800931.783162526"	"2309874.20644262"	"1017136.62117265"	"1288681.31041034"	"56092.6346487562"	"3993942.32140049"	"859833.396593734"	"2309961.61980999"	"902343.079210738"	"72415.4370166636"	"6536805.18872891"	"2106512.20804659"	"721874.039780055"	"20412.197813733"	"2195987.75896052"	"1986385.98607721"	"1801369.01993791"	"1765176.15428659"	"1637269.80287933"	"2194757.03980552"	"8.0"	"5.9"	"9.5"	"9.5"	"4.8"	"9.1"	"8.4"	"7.0"	"8.6"	"6.7"	"4.8"	"8.9"	"7.8"	"10.0"	"7.5"	"7.0"	"8.4"	"8.0"	"8.6"	""	"8.4"	"8.0"	"8.9"	"9.1"	""	"8.9"	"8.9"	"4.8"	""	"9.5"	"8.6"	"8.9"	"8.4"	"8.9"	"5.1"
"734"	"B"	"False"	"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid"	"C18 H34 O5"	"Full match"	"Full match"	"No results"	"Partial match"	"1.62"	"330.24116"	"329.23388"	"0.959"	"8760346.68425473"	"32"	"4"	"0"	"84.1"	"49.7"	"47.9"	""	"6"	"12"	"4"	"PreferredDDA"	"[M-H]-1"	"2067650.27128838"	"3757255.59560178"	"9481446.62662531"	"6127242.05960635"	"5371555.60697409"	"5194986.46736288"	"2338074.37170501"	"3290492.12696166"	"5291367.4299792"	"4350332.74103895"	"3863281.74520321"	"2654546.28746969"	"2599258.44868298"	"2912202.1758999"	"2976568.91091415"	"3050633.35497563"	"4179840.39006194"	"2218888.94210956"	"4523471.12694589"	"1499129.5250335"	"2552326.56962321"	"2829405.4395048"	"1228961.27477806"	"6813732.57287821"	"98777.7926353091"	"3277577.26107593"	"4905320.01728429"	"826205.941032895"	"49304.3209977799"	"4023161.03312792"	"3870030.69899867"	"3774548.78881722"	"3644748.74059426"	"3701543.75183638"	"4048103.28185985"	"7.3"	"8.4"	"8.9"	"8.4"	"5.7"	"8.9"	"6.7"	"7.8"	"6.7"	"7.8"	"8.4"	"8.4"	"7.3"	"7.3"	"8.4"	"8.4"	"6.7"	"6.7"	"7.8"	"8.4"	"7.8"	"7.8"	"6.4"	"7.8"	""	"6.7"	"8.9"	"8.0"	""	"7.3"	"8.9"	"7.8"	"7.8"	"6.7"	"6.7"
"224"	"D"	"False"	"[((2E)-3-(3,4-Bis[(trimethylsilyl)oxy]phenyl)-2-propenyl)oxy](trimethyl)silane"	"C18 H34 O3 Si3"	"No match"	"No results"	"No results"	"Full match"	"0.28"	"382.18168"	"381.17440"	"0.596"	"8676932.78185005"	"1"	"0"	"0"	""	""	""	""	"6"	"13"	"8"	"NoMSn"	"[M-H]-1"	"6542998.30785726"	"4639336.66911172"	"425170.352509716"	"5200988.64690698"	"7523800.50697668"	"5046992.0430576"	"7675886.57429923"	"904468.402405807"	"268759.921407868"	"1084295.67861534"	"4170790.5298415"	"4691529.79262863"	"3718532.34924865"	"110217.098328423"	"6152789.77152"	"264823.426609571"	"285418.595616757"	"820271.446671769"	"5856748.24582998"	"5625743.52119359"	"5524797.80347768"	"5346813.18119186"	"3416856.04788833"	"4479367.4356942"	"555320.392389648"	"7536820.70548366"	"7625994.81607238"	"463751.522398834"	"4070.22250600802"	"4360364.15824685"	"4362850.36577994"	"4735142.88589646"	"3899592.28218606"	"4047620.39646517"	"4676083.45762713"	"8.9"	"9.5"	""	"9.5"	"10.0"	"9.5"	"9.5"	""	""	""	"9.5"	"9.5"	"9.5"	""	"9.5"	""	""	""	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"9.5"	""	"8.4"	"8.9"	""	""	"7.8"	"9.5"	"9.5"	"9.5"	""	""
"1778"	"C"	"False"	"Pyruvic acid"	"C3 H4 O3"	"No results"	"Invalid mass"	"No results"	"No results"	"6.17"	"88.01659"	"87.00931"	"3.056"	"8651169.12166651"	"0"	"1"	"0"	"43.8"	"7.2"	""	""	"6"	"12"	"5"	"PreferredDDA"	"[M-H]-1"	"1952303.92536486"	"5794326.78025262"	"3668560.41860424"	"5270617.59331967"	"6046046.86152808"	"4683744.94505789"	"613277.200243357"	"3614868.81315889"	"3349639.68077398"	"3475891.31691381"	"2341886.91948699"	"1102225.01399952"	"4939567.29203934"	"4148690.13085042"	"888727.98113784"	"3901639.30089565"	"3192587.31099666"	"2716456.6763703"	"1073528.96998698"	"5308108.58802763"	"1066318.2052858"	"400705.705672774"	"402266.034510563"	"4008568.73051346"	"7667616.13786703"	"1003055.20497446"	"1498746.77632287"	"4274839.60381519"	"74974.7843178769"	"4015303.29324135"	"4200606.9428647"	"3742180.07025532"	"3999783.6550838"	"3788202.55945201"	"4169436.52397109"	"6.7"	"7.3"	""	"7.8"	"8.4"	"7.3"	""	"6.7"	""	"7.8"	""	""	"6.7"	"8.4"	""	"8.4"	"8.4"	"7.8"	"6.4"	"6.7"	"7.5"	""	""	"8.4"	"6.7"	""	"7.8"	"7.8"	""	"7.8"	"7.8"	"7.3"	"6.7"	"8.4"	"7.3"
"253"	"D"	"False"	"METHYL CIS-9-HEXADECENOATE"	"C17 H32 O2"	"Full match"	"No results"	"No results"	"Full match"	"1.63"	"268.24067"	"267.23339"	"0.602"	"8583291.88782779"	"103"	"0"	"0"	""	""	""	""	"6"	"12"	"8"	"NoMSn"	"[M-H]-1"	"8451211.05781928"	"5010960.90720686"	"1905263.49542089"	"5536193.12715415"	"6418248.13818717"	"5069682.46676404"	"7333322.27978245"	"2340524.24038735"	"1817626.02384915"	"2649758.77937109"	"4079767.38985658"	"6135447.54928591"	"4520332.07865735"	"1484218.95910889"	"6257385.88857844"	"1506095.09783864"	"2251120.05355889"	"2384137.23581345"	"5477940.9720697"	"6224486.36008204"	"6431753.7439593"	"6525322.10485901"	"5292668.95637672"	"5217902.91836009"	"1446649.10449096"	"6005267.92940359"	"7658092.69554655"	"2132213.19085794"	"15834.170846428"	"4866520.43387061"	"5321923.96928595"	"4606838.77699289"	"4405325.06889513"	"4489021.44983516"	"5324207.8395934"	"9.5"	"8.4"	"8.4"	"7.8"	"10.0"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"7.8"	"8.0"	"9.5"	"8.0"	"8.4"	"9.5"	"8.9"	"9.5"	"9.5"	"8.4"	"8.4"	"9.5"	"9.1"	"7.8"	"9.5"	"8.4"	""	"9.5"	"9.5"	"10.0"	"8.9"	"9.5"	"8.4"
"1793"	"D"	"False"	"Ethyl N-(trifluoroacetyl)-alpha-aspartylglycinate"	"C10 H13 F3 N2 O6"	"No match"	"No results"	"No results"	"Full match"	"1.68"	"314.07310"	"313.06582"	"8.073"	"8518820.73204789"	"7"	"0"	"0"	""	""	""	""	"6"	"6"	"6"	"PreferredDDA"	"[M-H]-1"	"5250098.83367"	"5159158.1639946"	"5445862.08287206"	"5463151.37124073"	"6939159.77791919"	"6804734.69227085"	"5413244.87014466"	"4949691.61772257"	"4671466.4635821"	"4312070.40908831"	"5639816.81370729"	"4392617.74512257"	"5226409.29326381"	"5661500.05644663"	"3446054.09010196"	"3057542.53470836"	"5455711.14040668"	"4653079.41695164"	"6687706.77368019"	"8535442.01425455"	"5130581.97411823"	"5385584.5079431"	"3972343.49999704"	"6054965.44248949"	"6685486.17620036"	"1876893.93321476"	"6028935.49344521"	"4904224.91513258"	"30469.9459919569"	"6300362.72270243"	"5886910.3044342"	"5333649.18328001"	"6070656.97256257"	"6071725.27685242"	"5912744.42883005"	"6.7"	"7.3"	"4.6"	"5.1"	"6.2"	"6.7"	"5.1"	"6.2"	"2.4"	"7.3"	"6.7"	"7.3"	"4.0"	"6.2"	"4.6"	"6.2"	"6.2"	"6.2"	"6.2"	"6.2"	"6.7"	"3.5"	"6.2"	"3.5"	"6.2"	"5.7"	"6.2"	"6.2"	""	"6.2"	"6.7"	"4.6"	"6.2"	"6.7"	"5.7"
"491"	"B"	"False"	"Nitrilotriacetic acid"	"C6 H9 N O6"	"Full match"	"Full match"	"No results"	"Full match"	"2.97"	"191.04355"	"190.03628"	"7.179"	"8512062.1943613"	"5"	"1"	"0"	"72.1"	"67.0"	""	""	"6"	"28"	"24"	"PreferredDDA"	"[M-H]-1"	"2557823.74942557"	"2308249.49388098"	"6315264.17556409"	"4414054.39317293"	"3731629.53550062"	"5743769.43220807"	"3087977.37477555"	"2818836.68704883"	"5890421.39190574"	"1793401.01062063"	"2815187.85410958"	"2207468.49267161"	"5950198.09838715"	"1631843.05126382"	"3690942.49480801"	"2364764.7205095"	"3019813.34722371"	"2383573.82668508"	"3472768.32480011"	"8826251.75780481"	"2855784.608054"	"4255518.78212839"	"1739079.1971141"	"9756892.12430457"	"1084270.01168398"	"4237008.60639617"	"3970399.73508"	"4756723.61642005"	"4137.67703051539"	"3199114.54796964"	"5492591.09339843"	"3171877.76084513"	"3369140.51800431"	"3598409.80086375"	"4696572.2050016"	"9.5"	"9.5"	"8.4"	"9.5"	"9.5"	"8.4"	""	"9.5"	"10.0"	""	"9.5"	""	"8.4"	"3.2"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"9.1"	"8.4"	""	"9.5"	"9.5"	"8.9"	""	""	"9.5"	""	"9.5"	"8.9"	"9.5"
"248"	"C"	"False"	"4-Indolecarbaldehyde"	"C9 H7 N O"	"Full match"	"Full match"	"No results"	"Not the top hit"	"2.69"	"145.05315"	"144.04588"	"0.585"	"8473694.62372893"	"27"	"17"	"0"	"49.4"	"7.5"	"45.2"	""	"6"	"15"	"14"	"PreferredDDA"	"[M-H]-1"	"927175.762052335"	"1831707.54849406"	"4052418.96609428"	"1865568.26991092"	"649543.100516278"	"1118184.34628637"	"1646205.19537843"	"4981268.96720571"	"8563026.96504268"	"1448142.13549339"	"718825.97590131"	"268815.071111299"	"1046160.5354216"	"3122905.78268994"	"718984.484505097"	"3753954.86600784"	"3550629.51625866"	"3140428.68683814"	"897155.642707127"	"902975.294268613"	"1213755.26241547"	"836043.407279936"	"729004.527698544"	"1319014.95225016"	"5148508.41226213"	"934966.108673549"	"1296320.52209485"	"2550891.17507634"	"4684.46149878114"	"1836464.00399325"	"1936474.87069978"	"1287257.25655169"	"1615095.00254513"	"1673441.84390945"	"1852973.23002196"	""	"10.0"	"10.0"	""	""	""	""	"9.5"	"8.9"	"9.1"	""	"1.7"	""	"10.0"	""	"10.0"	"8.4"	"10.0"	""	""	""	""	""	"9.7"	"10.0"	""	""	"10.0"	""	"9.5"	"10.0"	""	"10.0"	"9.5"	"9.5"
"559"	"D"	"False"	"Folcisteine"	"C6 H9 N O3 S"	"Full match"	"No results"	"No results"	"Full match"	"2.92"	"175.03083"	"174.02355"	"1.454"	"8459108.36018338"	"1"	"0"	"0"	""	""	""	""	"6"	"19"	"6"	"PreferredDDA"	"[M-H]-1"	"2313670.8125899"	"3257622.83808679"	"6189800.4264698"	"4317784.99891835"	"3911601.41351668"	"3712298.39998766"	"3720442.82876142"	"2608069.47985081"	"5373662.34726916"	"2333101.84890219"	"3274238.99498477"	"2424270.30556764"	"2388988.45294418"	"2722421.297598"	"3502752.8388044"	"2434545.65424794"	"3512025.13051276"	"2069891.16687138"	"4260342.95892774"	"7003297.84414397"	"1776169.23143216"	"3904716.81231632"	"1755434.01103233"	"6992220.38579858"	"4107.33911233087"	"4624817.26253534"	"3673958.94717994"	"2388266.43275385"	"8369.78743706629"	"3745570.73809984"	"3773478.30157794"	"3507082.65353697"	"3356709.09585567"	"3371182.50443899"	"3881398.39264323"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.4"	"8.9"	"8.4"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.4"	"8.4"	"9.5"	"9.5"	"9.5"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"9.5"	""	"8.4"	"9.5"	"8.9"	""	"8.4"	"8.4"	"9.5"	"9.5"	"10.0"	"9.5"
"675"	""	"False"	""	"C9 H15 N8 O8 P3"	"Full match"	"No results"	"No results"	"No results"	"-1.63"	"456.02183"	"455.01455"	"5.264"	"8286194.07529727"	"0"	"0"	"0"	""	""	""	""	"6"	"18"	"8"	"PreferredDDA"	"[M-H]-1"	"6841571.03019926"	"6418750.23637055"	"7039714.46676024"	"6377213.16647729"	"6141077.31731362"	"5769221.49694215"	"6276274.22162548"	"5921002.23613481"	"6161328.373791"	"6274094.68939177"	"6246703.3301754"	"6065353.83323306"	"5619852.45939099"	"6190879.08230053"	"6429037.20139507"	"6096216.79784368"	"6266171.15212143"	"6143275.49039711"	"6260796.23949269"	"6056567.15450064"	"6243658.83732628"	"6716351.40035818"	"6373144.95295568"	"6089702.65259352"	"6288103.67033747"	"6627398.14278994"	"6173834.99594522"	"6068733.21283"	"4582.27008610763"	"7124975.60983029"	"6923973.21938712"	"6328020.87585433"	"6151671.66507301"	"6385331.28770784"	"7573278.1225394"	"9.5"	"7.8"	"7.8"	"7.8"	"8.9"	"7.8"	"8.4"	"7.3"	"7.3"	"8.9"	"7.8"	"9.5"	"6.7"	"7.3"	"7.3"	"9.5"	"7.3"	"7.3"	"9.5"	"8.9"	"8.4"	"7.8"	"9.5"	"8.4"	"9.5"	"9.5"	"8.4"	"8.4"	""	"7.8"	"7.8"	"8.9"	"8.9"	"7.3"	"7.8"
"643"	"C"	"False"	"Diacetyl"	"C4 H6 O2"	"Full match"	"Full match"	"No results"	"Partial match"	"2.82"	"86.03702"	"85.02975"	"7.125"	"8254598.45992082"	"18"	"2"	"0"	"40.8"	"7.0"	""	""	"6"	"12"	"5"	"PreferredDDA"	"[M-H]-1"	"3789294.86452122"	"4004308.40813727"	"5762750.0914359"	"4031306.33693327"	"3032640.58094296"	"3467978.48117299"	"4260521.96006176"	"5076985.6135414"	"4715581.63523436"	"4409044.40661387"	"3322673.71299225"	"3139798.25539965"	"3786236.10221235"	"3860201.64322982"	"3691500.7939638"	"4007372.23653394"	"4177089.15042228"	"4519467.16685229"	"4122899.25470824"	"4500418.89335"	"4111380.42484678"	"3603135.62390176"	"2652788.77607522"	"3699645.55099031"	"7283846.35427576"	"3450415.63450699"	"3933908.8020726"	"4604642.88541625"	"295399.143124675"	"5033594.03369508"	"4872662.76397664"	"4422525.64030224"	"4617890.62110246"	"4799930.89291843"	"4903201.15555011"	"8.4"	"8.4"	""	"8.4"	"8.4"	"8.4"	"9.5"	"8.4"	""	"8.4"	"8.4"	"8.4"	"10.0"	"8.4"	"8.4"	"8.4"	"10.0"	"8.4"	"8.4"	"8.4"	"8.4"	"9.5"	"8.4"	"7.8"	"8.4"	"9.5"	"8.9"	"8.4"	""	"8.4"	"8.4"	"8.9"	"8.4"	"8.4"	"8.9"
"297"	""	"False"	""	"C20 H42 O7 S"	"Full match"	"No results"	"No results"	"No results"	"1.58"	"426.26580"	"425.25852"	"0.536"	"8188475.15398397"	"0"	"0"	"0"	""	""	""	""	"6"	"17"	"6"	"NoMSn"	"[M-H]-1"	"165649.882365379"	"2417148.77783637"	"219246.208718415"	"4309268.82710679"	"2906538.28335774"	"4183668.82807146"	"1964566.49308732"	"18798.2950165669"	"8172201.07802838"	"37864.1383401773"	"152115.276863218"	"1069341.92266404"	"301186.894880387"	"1902778.84967705"	"1466319.53265877"	"245785.348703778"	"7551344.33028079"	"766534.377024533"	"2054308.93203817"	"185916.492934935"	"85950.5508994327"	"2348041.67048665"	"970861.562497561"	"384142.014026877"	"46104.9265624224"	"304791.957497941"	"98548.2527956187"	"612347.989053167"	"12969.1042505102"	"1454555.00062489"	"1418419.77034468"	"1368057.9032323"	"1485878.4723109"	"1278263.84100157"	"1490801.11146813"	""	"9.5"	""	"8.9"	"9.5"	"10.0"	"9.5"	""	"9.5"	""	""	"9.1"	""	"9.5"	"9.7"	"7.7"	"10.0"	"9.1"	"10.0"	""	""	"10.0"	"9.7"	"7.7"	""	""	""	"9.1"	""	"9.7"	"9.7"	"8.6"	"9.1"	"7.5"	"10.0"
"860"	"D"	"False"	"4-(Hydrazinocarbonyl)-N-(2-nitrophenyl)-1H-imidazole-5-carboxamide"	"C11 H10 N6 O4"	"Not the top hit"	"No results"	"No results"	"Full match"	"-2.09"	"290.07575"	"289.06847"	"8.137"	"8185413.48193085"	"3"	"0"	"0"	""	""	""	""	"6"	"3"	"3"	"PreferredDDA"	"[M-H]-1"	"2083458.92048265"	"1578153.53668144"	"5291055.94103488"	"4827771.11441344"	"3854345.04453932"	"4046312.04605141"	"3078944.0014479"	"2291581.33329191"	"5691370.33837349"	"1684789.85272763"	"2700153.06607383"	"1778732.78332717"	"3234421.32967762"	"2213254.84736825"	"3220077.70765757"	"2364749.18647419"	"2790405.47762802"	"1240379.85495744"	"3570718.73741783"	"8048145.35697273"	"1669481.29824055"	"3287252.70380666"	"1207331.98263998"	"8093053.24054872"	"264450.653176346"	"3472524.95395242"	"3090484.46362677"	"2089278.26458547"	"14251.4936874942"	"3145732.9533434"	"2980560.41292744"	"3151145.50774128"	"3231474.12100664"	"3163316.1331632"	"3010566.00517979"	"8.4"	"8.0"	"8.4"	"8.4"	"8.4"	""	"8.4"	"8.4"	"8.4"	"6.7"	"8.4"	"6.2"	"8.4"	"7.3"	"8.4"	"8.4"	"8.4"	"5.9"	"8.4"	"7.8"	"8.4"	"7.3"	"6.4"	"7.8"	"2.8"	"7.8"	"7.3"	"5.7"	""	"8.4"	"7.8"	"7.3"	"8.4"	"6.7"	"6.7"
